commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
15,1,2,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,1,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,3,300,12,15,12,300
15,0,3,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,4,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,0,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,0,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,0,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,0,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,0,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,0,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,0,1,400,12,0,0,0
15,0,4,400,12,0,0,0
15,0,3,400,12,0,0,0
15,0,2,400,12,0,0,0
15,1,3,400,12,15,12,400
15,1,2,400,12,15,12,400
15,1,1,400,12,15,12,400
15,1,0,400,12,15,12,400
15,1,2,400,12,15,12,400
15,1,3,400,12,15,12,400
15,1,3,400,12,15,12,400
15,0,3,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,3,500,12,0,0,0
